Year,Winning author,Title,Sales Pre-award,Sales Post-award,Percentage growth,postaward-preaward,Publisher,,,,,
2000,Margaret Atwood,The Blind Assassin,8228,500717,5986,492489,Bloomsbury,,,,,
2001,Peter Carey,True History of the Kelly Gang,10648,250323,2251,239675,Faber & Faber,,,,,
2002,Yann Martel,Life of Pi,6287,1312221,20772,1305934,Canongate,,,,,
2003,DBC Pierre,Vernon God Little,5151,359798,6885,354647,Faber & Faber,,,,,
2004,Alan Hollinghurst,The Line of Beauty,8205,233941,2751,225736,Picador,,,,,
2005,John Banville,The Sea,4622,194653,4111,190031,Picador,,,,,
2006,Kiran Desai,The Inheritance of Loss,2397,182044,7495,179647,Hamish Hamilton,,,,,
2007,Anne Enright,The Gathering,3687,221738,5914,218051,Jonathan Cape,,,,,
2008,Aravind Adiga,The White Tiger,5703,551061,9563,545358,Atlantic,,,,,
2009,Hilary Mantel,Wolf Hall,35900,594969,1557,559069,Fourth Estate,,,,,
2010,Howard Jacobson,The Finkler Question,8360,277171,3215,268811,Bloomsbury,,,,,
2011,Julian Barnes,The Sense of an Ending,27573,243314,782,215741,Jonathan Cape,,,,,
,,,100,110,10.0,10,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
